Genome	CSU	RM2	SM1	RM1	RL	SU	SM2	CRU	SL	RU
pstB	8.294044455	8.577785634	9.021006659	8.75408105	6.224732195	8.285131411	8.84456931	6.872204562	7.755351062	9.513753717
pstC	8.197039032	8.297904054	8.7656281	8.473356938	6.143351966	7.905960031	8.568034509	6.52683504	7.809047771	9.298479577
pstA	8.15474033	8.300042252	8.670179156	8.534328755	6.144905982	7.725780669	8.533068213	6.601961064	7.487694846	9.271337232
pstS	10.00439192	9.989347776	10.14007273	10.09678353	7.339276233	9.770446084	9.764222527	8.653173484	9.29603671	11.41679759
phoU	6.514331141	6.71717351	7.93281707	7.424271454	5.763133742	6.925352234	7.975023734	5.573884636	6.95716017	8.387740288
phoR	1.90247346	2.530879888	6.609287098	1.47108982	0	0	0	1.354855421	4.249869153	4.669815633
phoB	7.915473207	8.218872477	8.204803103	8.56829606	4.547012688	7.512946856	7.290080567	7.13257945	7.788868743	9.844141451
phoP	7.12274022	7.320820571	6.734064977	7.565397673	0	7.117964836	4.713328139	6.145512908	6.205219888	9.036768395
phoA	6.236491945	7.050194303	7.362126134	7.231920904	3.211294502	5.985013046	6.176577399	5.109783522	7.594336336	7.487057641
phoD	6.367863129	7.038513924	7.641082479	7.731923231	4.849614652	6.089875291	7.279245901	5.516370602	6.878679693	8.302146785
phoX	8.515220614	8.021992704	7.979182222	8.228596987	5.564034323	8.313805767	7.875577446	6.472247517	7.871347928	9.536572265
phnC	6.784967301	6.102878367	7.106133115	6.972325839	5.176987167	2.350151698	5.984792324	1.878169681	5.695889528	6.430637185
phnD	8.16454184	8.147513231	8.351845208	8.313309159	6.450138318	6.757095651	7.551095018	5.650271786	7.268412335	8.852068984
phnE	6.955345406	6.503396618	7.929187596	7.060185255	5.550802913	4.131079129	6.360548907	3.535730484	5.923045613	7.598785824
phnF	0	5.798625689	5.68555748	6.419676857	2.506576987	0	0	0	4.579206357	4.089603483
phnG	3.478046171	6.107929024	6.088478375	6.294707752	2.506576987	0	0	0	3.790115876	5.013996921
phnH	3.887012835	6.107929024	5.930928686	6.516397446	2.506576987	0	0	0	3.790115876	4.75090929
phnI	4.572822614	6.107929024	6.74640967	6.459283324	3.159585961	0	2.1132757	0	4.047946142	4.75090929
phnJ	3.531695575	6.107929024	6.68873036	6.50507488	2.604496554	0	2.1132757	0	4.043548704	5.003454894
phnK	3.531695575	6.107929024	6.68873036	6.50507488	2.604496554	0	2.1132757	0	4.043548704	4.75090929
phnL	3.090617312	6.057114941	5.765063066	6.385162958	2.604496554	0	2.1132757	0	4.043548704	4.345692196
phnM	3.689753969	6.057114941	6.987389217	6.615727733	3.115285623	0	2.061268588	0	4.043548704	5.843715076
nifD	5.076611224	5.635114677	7.692625289	5.397568944	2.808077379	4.373317061	7.9981483	3.040390298	5.776542782	6.466359032
nifH	5.349151017	5.635114677	7.943814634	5.428366561	3.207594308	4.373317061	7.979137078	4.219086992	5.967909245	6.466359032
nifK	5.647270754	5.635114677	7.728919715	5.173832482	2.808077379	4.719409001	8.005851431	3.854597356	5.127685661	5.338702258
nrfA	0	2.235154861	4.575784729	4.620039604	1.487426944	0	6.632780489	0	0	2.041346098
nrfH	0	2.235154861	4.089600689	4.774867398	1.487426944	0	6.577819194	0	0	2.041346098
nirB	6.368911814	0	3.664018158	3.457642602	4.398376958	5.54884965	0	3.15715961	4.240217119	6.4908774
nirD	5.678712009	2.342681814	3.031676097	3.067145911	4.398376958	5.335456191	0	3.4997051	4.240217119	6.450564116
nirA	6.886056284	6.597434704	6.445208988	6.856542437	4.734313115	6.851844022	6.850256245	4.835887161	5.742218304	7.322010006
narB	6.607472847	6.672054636	6.319058569	6.779474161	4.445817365	5.86166344	6.372604838	4.644085721	4.820531335	7.843040814
ssuA	4.033891559	4.438546522	4.445349545	2.798453275	0	5.20937965	0	4.223041347	4.290226826	4.818774778
ssuB	0	0	0	0	0	3.62441715	0	2.638078846	2.707285091	3.233812277
ssuC	2.153595055	0	3.686053275	0	0	4.62441715	0	3.638078846	2.707285091	4.233812277
ssuD	3.775080484	0	3.95038341	1.798453275	0.874483615	4.102175657	0	2.638078846	2.817666306	5.380718535
ssuE	7.039809656	6.245708416	6.708716697	5.201704009	1.66831448	7.651509254	6.66332032	5.630057026	5.298272619	8.456577654
cysH	7.331299743	7.554221345	7.978378779	8.176886476	5.348462704	7.571306018	7.222959707	6.002384373	7.247297055	8.770960622
sat/met3	7.262533004	7.519545171	7.731771184	7.783596868	5.160015433	6.905639807	7.769811173	5.557788357	7.120501349	8.02596079
cysC	3.957852491	0	0	0	0.90936453	5.777880841	0	3.400014429	4.640631279	6.844898343
sir	6.76459375	6.36206582	4.365499582	5.86333663	1.45125542	6.909339485	7.008220168	5.264520928	5.616301282	7.666530442
aprA	0	0	3.117407681	1.021192932	1.617492525	0	2.897769803	0	4.513972352	4.230686276
aprB	0	0	3.117407681	0	0	0	0	0	4.513972352	0
dsrA	0	0	5.282855583	1.461886708	1.077645425	0	0	0	5.174463292	0
dsrB	0	0	5.282855583	1.461886708	1.077645425	0	0	0	4.818385389	0
